"Id";"BSI";"Name";"Start";"End";"Effort";"Resources";"Completion";"Jira";"Status";"Isparent";"Priority";"Isparent";"2022-12-01";"2023-01-01";"2023-02-01";"2023-03-01";"2023-04-01";"2023-05-01";"2023-06-01";"2023-07-01";"2023-08-01";"2023-09-01";"2023-10-01"
"root";1;"tst_jira_structure";"2023-01-31";"2023-08-09";656.0;"";"52%";"";"";"True";500;"True";"";"";160.0;184.0;152.0;"";"";104.0;56.0;"";""
"_10";1.1;"  Project";"2023-01-31";"2023-01-31";0.0;"";"100%";"";"";"False";500;"False";"";"";"";"";"";"";"";"";"";"";""
"_9";1.2;"  Settings";"2023-01-31";"2023-01-31";0.0;"";"100%";"";"";"False";500;"False";"";"";"";"";"";"";"";"";"";"";""
"HMIP-2427";1.4;"  Milestone 2";"2023-01-31";"2023-07-26";576.0;"";"9%";"HMIP-2427";"Reopened";"True";500;"True";"";"";160.0;184.0;152.0;"";"";80.0;"";"";""
"HMIP-2439";"1.4.1";"    Summary";"2023-01-31";"2023-01-31";0.0;"";"100%";"HMIP-2439";"Resolved";"False";0;"False";"";"";"";"";"";"";"";"";"";"";""
"HMIP-2436";"1.4.4";"    Summary";"2023-02-01";"2023-03-14";240.0;"mahmad_PK (mahmad)";"0%";"HMIP-2436";"In Progress";"False";999;"False";"";"";160.0;80.0;"";"";"";"";"";"";""
"HMIP-2429";"1.4.11";"    issue summary";"2023-03-15";"2023-03-15";1.0;"mahmad_PK (mahmad)";"0%";"HMIP-2429";"In Progress";"False";998;"False";"";"";"";1.0;"";"";"";"";"";"";""
"HMIP-2438";"1.4.2";"    Summary";"2023-03-15";"2023-04-26";240.0;"mahmad_PK (mahmad)";"0%";"HMIP-2438";"Open";"False";800;"False";"";"";"";103.0;137.0;"";"";"";"";"";""
"HMIP-2437";"1.4.3";"    Summary";"2023-04-26";"2023-04-27";10.0;"mahmad_PK (mahmad)";"0%";"HMIP-2437";"Open";"False";799;"False";"";"";"";"";10.0;"";"";"";"";"";""
"HMIP-2435";"1.4.5";"    Summary";"2023-04-27";"2023-04-27";1.0;"mahmad_PK (mahmad)";"0%";"HMIP-2435";"Open";"False";798;"False";"";"";"";"";1.0;"";"";"";"";"";""
"HMIP-2434";"1.4.6";"    Summary";"2023-04-27";"2023-04-27";1.0;"mahmad_PK (mahmad)";"0%";"HMIP-2434";"Open";"False";797;"False";"";"";"";"";1.0;"";"";"";"";"";""
"HMIP-2433";"1.4.7";"    Summary";"2023-04-27";"2023-04-27";1.0;"mahmad_PK (mahmad)";"0%";"HMIP-2433";"Open";"False";796;"False";"";"";"";"";1.0;"";"";"";"";"";""
"HMIP-2431";"1.4.9";"    issue summary";"2023-04-27";"2023-04-27";1.0;"mahmad_PK (mahmad)";"0%";"HMIP-2431";"Open";"False";794;"False";"";"";"";"";1.0;"";"";"";"";"";""
"HMIP-2430";"1.4.10";"    issue summary";"2023-04-27";"2023-04-27";1.0;"mahmad_PK (mahmad)";"0%";"HMIP-2430";"Open";"False";793;"False";"";"";"";"";1.0;"";"";"";"";"";""
"HMIP-2432";"1.4.8";"    Summary";"2023-07-13";"2023-07-26";80.0;"mahmad_PK (mahmad)";"0%";"HMIP-2432";"Open";"False";795;"False";"";"";"";"";"";"";"";80.0;"";"";""
"HMIP-2428";1.3;"  Milestone 1";"2023-07-27";"2023-08-09";80.0;"";"0%";"HMIP-2428";"Open";"True";500;"True";"";"";"";"";"";"";"";24.0;56.0;"";""
"HMIP-2440";"1.3.1";"    Task 1.1";"2023-07-27";"2023-08-09";80.0;"mahmad_PK (mahmad)";"0%";"HMIP-2440";"In Progress";"False";1000;"False";"";"";"";"";"";"";"";24.0;56.0;"";""
