"Id";"BSI";"Name";"Start";"End";"Effort";"Resources";"Completion";"Jira";"Status";"Isparent";"Priority";"Isparent";"2023-03-01";"2023-04-01";"2023-05-01";"2023-06-01";"2023-07-01";"2023-08-01";"2023-09-01";"2023-10-01";"2023-11-01";"2023-12-01";"2024-01-01";"2024-02-01"
"root";1;"Renesas RZ/A1H StarterKit BSP";"2023-07-31";"2023-10-02";361.0;"";"18%";"";"";"True";500;"True";"";"";"";"";"";185.0;168.0;8.0;"";"";"";""
"PSP-9330";1.1;"  RZ/A1H Starter Kit BSP for Renmark Pacific";"2023-07-31";"2023-08-01";1.0;"";"93%";"PSP-9330";"Open";"True";500;"True";"";"";"";"";"";1.0;"";"";"";"";"";""
"PSP-9332";"1.1.1";"    M.0";"2023-07-31";"2023-07-31";0.0;"";"100%";"PSP-9332";"Closed";"False";0;"False";"";"";"";"";"";"";"";"";"";"";"";""
"PSP-9340";"1.1.2";"    M.1";"2023-07-31";"2023-07-31";0.0;"";"100%";"PSP-9340";"Closed";"False";0;"False";"";"";"";"";"";"";"";"";"";"";"";""
"PSP-9333";"1.1.3";"    M.2";"2023-07-31";"2023-07-31";0.0;"";"100%";"PSP-9333";"Open";"True";500;"True";"";"";"";"";"";"";"";"";"";"";"";""
"PSP-9265";"1.1.3.1";"      Enable and Test Execute in Place for Serial Flash (QSPI)";"2023-07-31";"2023-07-31";0.0;"";"100%";"PSP-9265";"Closed";"False";0;"False";"";"";"";"";"";"";"";"";"";"";"";""
"PSP-9266";"1.1.3.2";"      Port Nucleus Bootloader to run from QSPI flash";"2023-07-31";"2023-07-31";0.0;"";"100%";"PSP-9266";"Closed";"False";0;"False";"";"";"";"";"";"";"";"";"";"";"";""
"PSP-9293";"1.1.3.3";"      Ethernet driver for Renesas RZ/A1H";"2023-07-31";"2023-07-31";0.0;"";"100%";"PSP-9293";"Closed";"False";0;"False";"";"";"";"";"";"";"";"";"";"";"";""
"PSP-9295";"1.1.3.4";"      RZ/A1H BSP Porting";"2023-07-31";"2023-07-31";0.0;"";"100%";"PSP-9295";"Open";"True";500;"True";"";"";"";"";"";"";"";"";"";"";"";""
"PSP-9296";"1.1.3.4.1";"        Board bring-up and hardware/software environment setup";"2023-07-31";"2023-07-31";0.0;"";"100%";"PSP-9296";"Resolved";"False";0;"False";"";"";"";"";"";"";"";"";"";"";"";""
"PSP-9297";"1.1.3.4.2";"        Kernel porting";"2023-07-31";"2023-07-31";0.0;"";"100%";"PSP-9297";"Resolved";"False";0;"False";"";"";"";"";"";"";"";"";"";"";"";""
"PSP-9298";"1.1.3.4.3";"        CPU driver and board initialization";"2023-07-31";"2023-07-31";0.0;"";"100%";"PSP-9298";"Resolved";"False";0;"False";"";"";"";"";"";"";"";"";"";"";"";""
"PSP-9299";"1.1.3.4.4";"        serial driver";"2023-07-31";"2023-07-31";0.0;"";"100%";"PSP-9299";"Resolved";"False";0;"False";"";"";"";"";"";"";"";"";"";"";"";""
"PSP-9314";"1.1.3.4.5";"        I2C driver";"2023-07-31";"2023-07-31";0.0;"";"100%";"PSP-9314";"Resolved";"False";0;"False";"";"";"";"";"";"";"";"";"";"";"";""
"PSP-9315";"1.1.3.4.6";"        LWSPI driver (Renesas SPI)";"2023-07-31";"2023-07-31";0.0;"";"100%";"PSP-9315";"Resolved";"False";0;"False";"";"";"";"";"";"";"";"";"";"";"";""
"PSP-9316";"1.1.3.4.7";"        Serial Flash driver";"2023-07-31";"2023-07-31";0.0;"";"100%";"PSP-9316";"Resolved";"False";0;"False";"";"";"";"";"";"";"";"";"";"";"";""
"PSP-9317";"1.1.3.4.8";"        USB Host driver";"2023-07-31";"2023-07-31";0.0;"";"100%";"PSP-9317";"Resolved";"False";0;"False";"";"";"";"";"";"";"";"";"";"";"";""
"PSP-9318";"1.1.3.4.9";"        CAN driver";"2023-07-31";"2023-07-31";0.0;"";"100%";"PSP-9318";"Resolved";"False";0;"False";"";"";"";"";"";"";"";"";"";"";"";""
"PSP-9538";"1.1.3.4.10";"        Ethernet Driver";"2023-07-31";"2023-07-31";0.0;"";"100%";"PSP-9538";"Resolved";"False";0;"False";"";"";"";"";"";"";"";"";"";"";"";""
"PSP-9498";"1.1.3.4.11";"        Documentation of BSP and Nucleus BootLoader";"2023-07-31";"2023-07-31";0.0;"";"100%";"PSP-9498";"Resolved";"False";0;"False";"";"";"";"";"";"";"";"";"";"";"";""
"PSP-9294";"1.1.3.5";"      Engineering Testing and bug fixing Part-1 - RZ/A1H StarterKit";"2023-07-31";"2023-07-31";0.0;"";"100%";"PSP-9294";"Resolved";"False";0;"False";"";"";"";"";"";"";"";"";"";"";"";""
"PSP-9319";"1.1.3.6";"      Engineering Testing and bug fixing - Part 2";"2023-07-31";"2023-07-31";0.0;"";"100%";"PSP-9319";"Closed";"False";0;"False";"";"";"";"";"";"";"";"";"";"";"";""
"PSP-9334";"1.1.4";"    M.3";"2023-07-31";"2023-07-31";0.0;"";"100%";"PSP-9334";"Open";"True";500;"True";"";"";"";"";"";"";"";"";"";"";"";""
"BSPQA-2916";"1.1.4.1";"      Acceptance Testing of  Renesas RZ/A1H Starter Ki BSP for Nucleus ReadyStart for ARM 2017.02.2";"2023-07-31";"2023-07-31";0.0;"";"100%";"BSPQA-2916";"Closed";"False";0;"False";"";"";"";"";"";"";"";"";"";"";"";""
"BSPQA-2917";"1.1.4.2";"      Test Cycle 1 for IV&V of Renesas RZ/A1H Starter Kit";"2023-07-31";"2023-07-31";0.0;"";"100%";"BSPQA-2917";"Closed";"False";0;"False";"";"";"";"";"";"";"";"";"";"";"";""
"PSP-9337";"1.1.4.3";"      Bug Fixing for QA Cycle #1";"2023-07-31";"2023-07-31";0.0;"";"100%";"PSP-9337";"Resolved";"False";0;"False";"";"";"";"";"";"";"";"";"";"";"";""
